HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00135,5,P10746 Q96IQ9 P78316 Q9UNK9 Q99611 O75164 O00626 Q9BVI4 O94953,UROS ZNF414 NOP14 ANGEL1 SEPHS2 KDM4A CCL22 NOC4L KDM4B
HuMAP2_00136,4,P68363 Q5TF39 P0DPH8 P47929 Q8N4U5,TUBA1B MFSD4B TUBA3D LGALS7 TCP11L2
HuMAP2_00137,5,P42566 P98082 Q0JRZ9 O14526 Q8N5S1,EPS15 DAB2 FCHO2 FCHO1 SLC25A41
HuMAP2_00138,5,Q92743 O60575 Q9BYZ8,HTRA1 SPINK4 REG4
HuMAP2_00139,2,Q9UBP0 P53990,SPAST IST1
HuMAP2_00140,5,Q96GV9 P49137 O75716 Q8N9N7,C5orf30 MAPKAPK2 STK16 LRRC57
HuMAP2_00141,2,Q15399 Q9Y2C9,TLR1 TLR6
HuMAP2_00142,4,O94941 Q8N5C8 Q9NYJ8 Q9Y6C2 Q15750,UBOX5 TAB3 TAB2 EMILIN1 TAB1
HuMAP2_00143,2,O43172 Q5T8P6,PRPF4 RBM26
HuMAP2_00144,5,Q9H582 O95785 Q96GT9 Q9H9B1 Q8WTP9 Q8N465 Q96JM2 Q96KQ7,ZNF644 WIZ XAGE2 EHMT1 XAGE3 D2HGDH ZNF462 EHMT2
HuMAP2_00145,4,O95208 Q9Y4X5 Q9H201,EPN2 ARIH1 EPN3
HuMAP2_00146,4,Q7L8J4 Q9NWX6 Q96G01,SH3BP5L THG1L BICD1
HuMAP2_00147,4,P20648 Q9NRD1 O95479 Q86YB8 P51688,ATP4A FBXO6 H6PD ERO1B SGSH
HuMAP2_00148,3,P05091 P23368,ALDH2 ME2
HuMAP2_00149,2,P17040 Q15697,ZSCAN20 ZNF174
HuMAP2_00150,4,O14544 O95376,SOCS6 ARIH2
HuMAP2_00151,4,Q8TD31 Q4KMZ1,CCHCR1 IQCC
HuMAP2_00152,5,Q15011 Q7Z3C6 O75808,HERPUD1 ATG9A CAPN15
HuMAP2_00153,4,Q5TC82 Q9UL18 Q8NDV7 Q9UPQ9 Q9HBD1 Q9H9G7,RC3H1 AGO1 TNRC6A TNRC6B RC3H2 AGO3
HuMAP2_00155,5,O75110 O60518 Q9UH62 O15438,ATP9A RANBP6 ARMCX3 ABCC3
HuMAP2_00156,5,Q9Y5S2 Q96GI7 Q14CS0 O60927,CDC42BPB FAM89A UBXN2B PPP1R11
HuMAP2_00157,5,P35243 Q0VDG4,RCVRN SCRN3
HuMAP2_00158,2,P21266 P28161 P46439 Q03013,GSTM3 GSTM2 GSTM5 GSTM4
HuMAP2_00159,4,Q9NRF9 Q07864 P56282 Q9NR33,POLE3 POLE POLE2 POLE4
HuMAP2_00160,5,Q9GZT8 P01185 Q8WV74 Q52LG2,NIF3L1 AVP NUDT8 KRTAP13-2
HuMAP2_00161,3,Q02363 Q99081,ID2 TCF12
HuMAP2_00162,5,P49755 Q13445 P27105 Q7Z7H5 Q96N66 Q9Y3B3 Q9Y5X9 Q86XR7 Q15363 Q9Y3A6 Q9BVK6 Q14789 Q9Y3Q3,TMED10 TMED1 STOM TMED4 MBOAT7 TMED7 LIPG TICAM2 TMED2 TMED5 TMED9 GOLGB1 TMED3
HuMAP2_00163,5,P51572 O15258 P13073,BCAP31 RER1 COX4I1
HuMAP2_00164,4,P18669 Q8N0Y7 P15259,PGAM1 PGAM4 PGAM2
HuMAP2_00165,5,Q9Y5H7 Q9UN73 Q9UN72 Q9Y5H6 Q9Y5I3 Q9Y5H9 Q9Y5H8 Q9UN74 O95822 Q9Y5I0 Q9Y5H5 Q9H158 Q9H3H9 Q9Y5I1 Q9Y5I2 Q9UN75,PCDHA5 PCDHA6 PCDHA7 PCDHA8 PCDHA1 PCDHA2 PCDHA3 PCDHA4 MLYCD PCDHA13 PCDHA9 PCDHAC1 TCEAL2 PCDHA11 PCDHA10 PCDHA12
HuMAP2_00166,4,Q9BPX6 Q86XE3 Q8IYU8,MICU1 MICU3 MICU2
HuMAP2_00167,3,P17535 Q9NR55,JUND BATF3
HuMAP2_00168,3,Q9Y478 O43741 Q13131 P54646 P54619 Q9UGJ0,PRKAB1 PRKAB2 PRKAA1 PRKAA2 PRKAG1 PRKAG2
HuMAP2_00169,3,Q9ULU4 O75822 P19784 Q9NZR4 Q9NW75,ZMYND8 EIF3J CSNK2A2 VSX1 GPATCH2
HuMAP2_00170,5,Q5JRX3 Q9Y263 Q9UJV9 Q9ULJ7 Q5SYC1,PITRM1 PLAA DDX41 ANKRD50 CLVS2
HuMAP2_00171,3,P51878 P49662,CASP5 CASP4
HuMAP2_00172,5,P15924 Q5T749 Q02413 Q04695 Q08554 Q7Z794 Q9NZC4 P14923 P02538 P04264 P13647,DSP KPRP DSG1 KRT17 DSC1 KRT77 EHF JUP KRT6A KRT1 KRT5
HuMAP2_00173,2,P31153 Q00266 Q9NZL9,MAT2A MAT1A MAT2B
HuMAP2_00174,2,Q9H2H8 Q96I24 P40926,PPIL3 FUBP3 MDH2
HuMAP2_00175,3,P11766 Q9BPX1 Q9BY32,ADH5 HSD17B14 ITPA
HuMAP2_00176,3,P17010 P08048,ZFX ZFY
HuMAP2_00177,4,Q9UKK9 Q53H96 Q96C36 P32322,NUDT5 PYCR3 PYCR2 PYCR1
HuMAP2_00178,4,Q96LR2 P30711,LURAP1 GSTT1
HuMAP2_00179,4,Q13126 Q9P2R7,MTAP SUCLA2
HuMAP2_00180,5,Q96L94 Q5T0L3 Q8TC76 Q5T7W0 Q1L5Z9 O15055 P49674 Q14C86 P48730 Q9Y343,SNX22 SPATA46 FAM110B ZNF618 LONRF2 PER2 CSNK1E GAPVD1 CSNK1D SNX24
HuMAP2_00181,4,O15530 Q9NWC5 Q14681 P43003 Q9NXV2 Q8N5Z5,PDPK1 TMEM45A KCTD2 SLC1A3 KCTD5 KCTD17
HuMAP2_00182,5,O75874 Q9NUQ9 Q9H0Q0 Q96RP9,IDH1 FAM49B FAM49A GFM1
HuMAP2_00183,4,Q8TDP1 Q5TBB1 Q8N1G2 Q86TU7 O75792,RNASEH2C RNASEH2B CMTR1 SETD3 RNASEH2A
HuMAP2_00184,2,Q9H3K2 Q69YU5,GHITM C12orf73
HuMAP2_00185,5,P05091  Q9BYX4 Q96DB5 Q99538 O95297 O94788,ALDH2 IGHG4 IFIH1 RMDN1 LGMN MPZL1 ALDH1A2
HuMAP2_00186,4,O00291 O75146,HIP1 HIP1R
HuMAP2_00187,3,Q15020 Q9H6E5 O43172 O43395 P55769 Q5T8P6,SART3 TUT1 PRPF4 PRPF3 SNU13 RBM26
HuMAP2_00188,3,P23511 P25208 Q13952,NFYA NFYB NFYC
HuMAP2_00189,4,Q8TBE7 P28335 A8MZ36,SLC35G2 HTR2C EVPLL
HuMAP2_00190,4,P35247 Q04837,SFTPD SSBP1
HuMAP2_00191,3,P33992 Q14566 P33993 P49736 P25205 P33991 Q9BTE3 Q7L590,MCM5 MCM6 MCM7 MCM2 MCM3 MCM4 MCMBP MCM10
HuMAP2_00192,4,Q06210 P04150 Q96F46 Q8N6T7 O94808,GFPT1 NR3C1 IL17RA SIRT6 GFPT2
HuMAP2_00193,2,Q9UBT3 Q9HAU8,DKK4 RNPEPL1
HuMAP2_00194,5,P17509 P31267 Q5HY92 A1L020 Q9BS26 O43169 Q8IX07 Q14153 Q5JPE7 Q96DU7 Q15155 O00255 Q92626,HOXB6 HOXA6 FIGN MEX3A ERP44 CYB5B ZFPM1 FAM53B NOMO2 ITPKC NOMO1 MEN1 PXDN
HuMAP2_00195,5,Q9BQ69 Q14244 Q15814 P02100,MACROD1 MAP7 TBCC HBE1
HuMAP2_00196,4,P0DN76 Q8WU68 Q99590,U2AF1L5 U2AF1L4 SCAF11
HuMAP2_00197,2,P57678 Q16637 O14893 P09234 Q9UHI6 P08621,GEMIN4 SMN1 GEMIN2 SNRPC DDX20 SNRNP70
HuMAP2_00198,4,Q6V1X1 Q8ND56 Q9UBP6 P50579 P57081,DPP8 LSM14A METTL1 METAP2 WDR4
HuMAP2_00199,4,O95433 Q14376 P46108,AHSA1 GALE CRK
HuMAP2_00200,4,Q9NQX6 Q8WYA6 O60684,ZNF331 CTNNBL1 KPNA6
HuMAP2_00201,4,Q13422 Q6PID8 Q9UKS7,IKZF1 KLHDC10 IKZF2
HuMAP2_00202,2,Q5VY09 Q9Y2T4,IER5 PPP2R2C
HuMAP2_00203,4,P61970 Q9UMX0 P00374,NUTF2 UBQLN1 DHFR
HuMAP2_00204,5,P31994 P12318 P27695 P31995 P55157,FCGR2B FCGR2A APEX1 FCGR2C MTTP
HuMAP2_00205,4,O43542 O43502,XRCC3 RAD51C
HuMAP2_00206,4,Q9HCJ3 Q8TB22,RAVER2 SPATA20
HuMAP2_00207,5,Q969Y0 P52849 Q13296 O75462 P35475 P19320 O95672 O15228 Q99985 Q7LGC8 Q92854,NXPE3 NDST2 SCGB2A2 CRLF1 IDUA VCAM1 ECEL1 GNPAT SEMA3C CHST3 SEMA4D
HuMAP2_00208,5,Q9NQ87 P53609 Q6DCA0,HEYL PGGT1B AMMECR1L
HuMAP2_00209,5,Q9NSA3 Q9Y2Q3 O75554 Q8IUH3 O00142 Q8N264 O94907,CTNNBIP1 GSTK1 WBP4 RBM45 TK2 ARHGAP24 DKK1
HuMAP2_00210,3,Q13228 Q9Y4U1,SELENBP1 MMACHC
HuMAP2_00211,5,Q3KR16 Q9Y5G5 Q9Y5G4 O95822 Q9Y5G6 Q9Y5G8,PLEKHG6 PCDHGA8 PCDHGA9 MLYCD PCDHGA7 PCDHGA5
HuMAP2_00212,2,Q8N371 A6NED2 Q7L273,KDM8 RCCD1 KCTD9
HuMAP2_00213,4,O60271 Q8N565 Q147U7,SPAG9 MREG SMCO1
HuMAP2_00214,4,Q9H9Y2 Q9BXY0,RPF1 MAK16
HuMAP2_00215,3,P47914 P05141 Q13685 P27635 P08708,RPL29 SLC25A5 AAMP RPL10 RPS17
HuMAP2_00216,4,O00629 P18754 O00505 P63165,KPNA4 RCC1 KPNA3 SUMO1
HuMAP2_00217,5,P35610 Q9UBY5 O75326,SOAT1 LPAR3 SEMA7A
HuMAP2_00218,2,O75947 P25705 P56385 P18859 P36542 P06576 P30049 P24539 O75964 P48047,ATP5PD ATP5F1A ATP5ME ATP5PF ATP5F1C ATP5F1B ATP5F1D ATP5PB ATP5MG ATP5PO
HuMAP2_00219,5,Q3T8J9 Q8N108 Q96A08 Q96RY5 Q6PH81 P0C0S5 Q14865 Q8TBE0 Q99880 Q7Z3K6 Q8IUE6,GON4L MIER1 H2BC1 CRAMP1 C16orf87 H2AZ1 ARID5B BAHD1 H2BC13 MIER3 HIST2H2AB
