ID,cut_1193.94,cut_1145.7,cut_1085.4,cut_1025.1,cut_964.8,cut_904.5,cut_844.2,cut_783.9,cut_723.6,cut_663.3,cut_603,cut_542.7,cut_482.4,cut_422.1,cut_361.8,cut_301.5,cut_241.2,cut_180.9,cut_120.6,dendrogram_order
ENOG411DPN8,1,1,4,49,54,77,82,86,136,145,161,172,187,216,236,260,291,331,371,427.0
ENOG411DU6W,1,1,4,49,54,77,82,86,93,150,166,178,193,222,242,267,298,338,378,428.0
ENOG411DY4N,1,1,4,49,54,77,82,86,93,100,112,116,128,149,158,176,197,233,266,429.0
ENOG411DZ5Q,1,1,4,49,54,77,82,86,93,100,159,170,185,214,233,257,287,327,366,430.0
ENOG411DQWD,1,1,4,49,54,77,82,86,93,100,175,187,202,232,253,278,309,351,392,431.0
ENOG411E6KU,1,1,4,49,54,77,82,86,93,100,175,187,301,336,368,408,449,498,546,432.0
ENOG411DQ1U,1,1,4,49,54,77,82,86,93,100,175,243,261,294,323,359,398,446,491,433.0
ENOG411EKY0,1,1,4,49,54,77,82,86,93,100,175,243,561,617,670,724,781,836,893,434.0
ENOG411DRYQ,1,1,4,49,54,60,65,174,197,219,245,268,288,323,355,394,434,483,530,435.0
ENOG411DRPK,1,1,4,49,54,60,65,174,197,219,245,339,370,412,449,494,541,594,646,436.0
ENOG411DWZN,1,1,4,49,54,60,65,212,240,271,300,325,355,397,434,477,524,577,628,437.0
ENOG411DXVC,1,1,4,49,54,60,65,69,74,77,349,380,416,460,499,546,595,650,706,438.0
ENOG411DY12,1,1,4,49,54,60,65,69,74,77,84,87,120,139,333,369,408,456,502,439.0
ENOG411DT5Y,1,1,4,49,54,60,65,69,74,77,84,87,120,139,147,163,183,218,248,440.0
ENOG411DTYD,1,1,4,49,54,60,65,69,74,77,84,87,120,139,255,280,311,353,394,441.0
ENOG411DPRN,1,1,4,49,54,60,65,69,74,77,84,87,91,107,114,128,143,175,202,442.0
ENOG411EMKZ,1,1,4,49,54,60,65,69,74,77,84,87,586,646,702,759,817,874,931,443.0
ENOG411DSZM,1,1,4,49,54,60,65,69,74,88,370,403,441,485,526,574,624,679,735,444.0
ENOG411DYJC,1,1,4,49,54,60,65,69,74,88,492,543,595,655,711,769,827,887,944,445.0
ENOG411DT30,1,1,4,49,54,60,65,69,74,88,99,455,494,541,588,639,693,748,804,446.0
ENOG411DU0A,1,1,4,49,54,60,65,69,74,88,99,103,109,126,134,149,166,200,229,447.0
ENOG411DXFY,1,1,4,49,54,60,65,69,74,88,99,103,317,354,388,429,471,520,569,448.0
ENOG411DQ20,1,1,4,54,86,93,99,107,117,124,138,146,161,185,202,224,250,289,325,449.0
ENOG411DYYS,1,1,4,54,86,93,99,107,117,124,138,146,161,630,684,739,796,851,908,450.0
ENOG411DWM0,1,1,4,54,126,133,306,345,396,449,504,559,614,674,730,789,847,908,966,451.0
ENOG411DZJB,1,1,4,54,126,133,146,158,176,197,223,241,259,292,321,355,394,441,486,452.0
ENOG411DS7N,1,1,4,54,126,133,146,158,176,197,223,241,272,306,336,373,412,460,506,453.0
ENOG411DQBR,1,1,4,54,61,67,72,76,354,390,431,474,513,563,610,661,715,770,826,454.0
ENOG411DT28,1,1,4,54,61,67,72,76,81,86,97,101,107,124,132,147,164,198,227,455.0
ENOG411DT8S,1,1,4,54,61,67,72,76,81,86,97,129,141,163,177,197,219,256,291,456.0
ENOG411DSYI,1,1,4,54,61,67,72,76,81,135,294,319,349,390,427,470,517,570,621,457.0
ENOG411DPZR,1,1,4,54,61,67,72,76,81,135,150,160,175,204,222,244,273,312,351,458.0
ENOG411DS4I,1,1,4,54,61,67,72,76,81,135,150,162,177,206,224,246,275,314,353,459.0
ENOG411DXT1,1,1,4,54,61,67,72,76,81,135,150,162,177,206,676,730,787,842,899,460.0
ENOG411DQME,1,1,4,54,60,66,71,110,121,128,142,150,165,190,208,230,257,296,334,461.0
ENOG411DR1Y,1,1,4,54,60,66,71,110,121,266,295,320,350,391,428,471,518,571,622,462.0
ENOG411DQBZ,1,1,4,54,60,66,71,75,80,176,197,211,314,351,384,424,466,515,563,463.0
ENOG411DUXD,1,1,4,54,60,66,71,75,80,176,197,211,226,257,281,312,347,393,437,464.0
ENOG411DYFA,1,1,4,54,60,66,71,75,80,176,197,211,226,257,281,768,826,886,943,465.0
ENOG411DTC6,1,1,4,54,60,66,71,75,80,85,414,456,495,542,589,640,694,749,805,466.0
ENOG411DTNM,1,1,4,54,60,66,71,75,80,85,96,249,267,301,330,366,405,453,498,467.0
ENOG411E17D,1,1,4,54,60,66,71,75,80,85,96,100,105,637,692,748,805,861,918,468.0
ENOG411DPWH,1,1,4,54,60,66,71,75,80,85,96,100,105,122,130,145,162,196,225,469.0
ENOG411DSI8,1,1,4,54,60,66,71,75,80,85,96,100,105,122,173,193,215,251,286,470.0
ENOG411DZ7Y,1,1,4,54,60,66,71,75,80,85,96,100,105,122,482,527,575,630,684,471.0
ENOG411DRZA,1,1,4,151,183,200,226,246,276,309,341,372,408,452,490,536,584,639,694,472.0
ENOG411DPQC,1,1,4,41,218,251,287,318,358,394,435,478,517,567,614,665,719,774,830,473.0
ENOG411DU01,1,1,4,41,176,190,212,231,261,293,324,354,388,431,468,513,561,615,668,474.0
ENOG411DTP0,1,1,4,41,45,201,227,248,278,311,343,374,410,454,492,538,586,641,697,475.0
